time_ms,packet_counter,timestamp_ms,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,baro1_pressure,baro1_height,baro2_pressure,baro2_height,tank_pressure,tank_temp_top,tank_temp_bottom,tank_temp_feeding,injector_pressure,injector_temp,chamber_pressure,battery_soc,battery_current,battery_voltage,state,gnss_north,gnss_east,gnss_speed,gnss_altitude
65800,658,65800,-16,0,0,0,0,0,-16,0,0,0,0,0,79,20382,92,20395,308,308,303,293,4146,342,1905,78,65,1136,3,37559,21135,11788,20382
65900,659,65900,-16,0,0,0,0,0,-16,0,0,0,0,0,79,20394,93,20408,308,308,303,293,4151,342,1905,78,65,1136,3,37560,21135,11605,20394
66000,660,66000,-16,0,0,0,0,0,-16,0,0,0,0,0,79,20405,84,20410,308,308,303,293,4155,342,1904,77,65,1136,3,37561,21135,11424,20405
66100,661,66100,-16,0,0,0,0,0,-16,0,0,0,0,0,78,20416,84,20422,308,308,303,293,4160,341,1904,77,65,1136,3,37562,21134,11246,20416
66200,662,66200,-15,0,0,0,0,0,-16,0,0,0,0,0,78,20428,85,20435,308,308,303,293,4165,341,1904,77,65,1136,3,37563,21134,11070,20428
66300,663,66300,-15,0,0,0,0,0,-15,0,0,0,0,0,78,20438,86,20446,308,308,303,293,4169,341,1904,77,65,1136,3,37563,21134,10897,20438
66400,664,66400,-15,0,0,0,0,0,-15,0,0,0,0,0,78,20449,87,20458,308,308,303,293,4174,341,1904,77,65,1136,3,37564,21133,10726,20449
66500,665,66500,-15,0,0,0,0,0,-15,0,0,0,0,0,78,20460,88,20470,307,307,302,292,4179,340,1903,77,65,1136,3,37565,21133,10558,20460
66600,666,66600,-14,0,0,0,0,0,-15,0,0,0,0,0,78,20470,89,20481,307,307,302,292,4183,340,1903,77,65,1136,3,37566,21132,10392,20470
66700,667,66700,-14,0,0,0,0,0,-14,0,0,0,0,0,78,20480,90,20492,307,307,302,292,4188,340,1903,77,65,1136,3,37567,21132,10227,20480
66800,668,66800,-14,0,0,0,0,0,-14,0,0,0,0,0,78,20490,91,20503,307,307,302,292,4193,340,1903,77,65,1136,3,37568,21132,10065,20490
66900,669,66900,-14,0,0,0,0,0,-14,0,0,0,0,0,78,20500,92,20514,307,307,302,292,4197,339,1903,77,65,1136,3,37569,21131,9905,20500
67000,670,67000,-14,0,0,0,0,0,-14,0,0,0,0,0,78,20510,83,20515,307,307,302,292,4202,339,1903,77,65,1136,3,37570,21131,9747,20510
67100,671,67100,-14,0,0,0,0,0,-14,0,0,0,0,0,77,20520,83,20526,307,307,302,292,4206,339,1902,77,65,1136,3,37571,21131,9590,20520
67200,672,67200,-13,0,0,0,0,0,-14,0,0,0,0,0,77,20529,84,20536,307,307,302,292,4211,339,1902,77,65,1136,3,37572,21130,9436,20529
67300,673,67300,-13,0,0,0,0,0,-13,0,0,0,0,0,77,20538,85,20546,307,307,302,292,4216,338,1902,77,65,1136,3,37573,21130,9283,20538
67400,674,67400,-13,0,0,0,0,0,-13,0,0,0,0,0,77,20547,86,20556,307,307,302,292,4220,338,1902,77,65,1136,3,37574,21129,9132,20547
67500,675,67500,-13,0,0,0,0,0,-13,0,0,0,0,0,77,20556,87,20566,307,307,302,292,4225,338,1902,77,65,1136,3,37575,21129,8983,20556
67600,676,67600,-13,0,0,0,0,0,-13,0,0,0,0,0,77,20565,88,20576,307,307,302,292,4229,338,1902,77,65,1136,3,37575,21128,8836,20565
67700,677,67700,-13,0,0,0,0,0,-13,0,0,0,0,0,77,20574,89,20586,307,307,302,292,4233,337,1901,77,65,1136,3,37576,21128,8690,20574
67800,678,67800,-12,0,0,0,0,0,-13,0,0,0,0,0,77,20583,90,20596,307,307,302,292,4238,337,1901,77,65,1136,3,37577,21127,8545,20583
67900,679,67900,-12,0,0,0,0,0,-12,0,0,0,0,0,77,20591,91,20605,307,307,302,292,4242,337,1901,77,65,1136,3,37578,21127,8403,20591
68000,680,68000,-12,0,0,0,0,0,-12,0,0,0,0,0,77,20599,82,20604,307,307,302,292,4247,337,1901,77,65,1136,3,37579,21126,8261,20599
68100,681,68100,-12,0,0,0,0,0,-12,0,0,0,0,0,77,20607,83,20613,307,307,302,292,4251,336,1901,77,65,1136,3,37580,21126,8121,20607
68200,682,68200,-12,0,0,0,0,0,-12,0,0,0,0,0,77,20615,84,20622,307,307,302,292,4255,336,1901,77,65,1136,3,37581,21125,7983,20615
68300,683,68300,-12,0,0,0,0,0,-12,0,0,0,0,0,76,20623,84,20631,307,307,302,292,4259,336,1901,77,65,1136,3,37581,21125,7846,20623
68400,684,68400,-12,0,0,0,0,0,-12,0,0,0,0,0,76,20631,85,20640,307,307,302,292,4264,336,1901,77,65,1136,3,37582,21124,7710,20631
68500,685,68500,-12,0,0,0,0,0,-12,0,0,0,0,0,76,20638,86,20648,307,307,302,292,4268,336,1901,77,65,1136,3,37583,21124,7575,20638
68600,686,68600,-11,0,0,0,0,0,-12,0,0,0,0,0,76,20646,87,20657,307,307,302,292,4272,335,1900,77,65,1136,3,37584,21123,7442,20646
68700,687,68700,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20653,88,20665,307,307,302,292,4276,335,1900,77,65,1136,3,37585,21123,7310,20653
68800,688,68800,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20660,89,20673,307,307,302,292,4281,335,1900,77,65,1136,3,37586,21122,7179,20660
68900,689,68900,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20667,90,20681,307,307,302,292,4285,335,1900,77,65,1136,3,37587,21122,7050,20667
69000,690,69000,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20674,81,20679,307,307,302,292,4289,334,1900,76,65,1136,3,37587,21121,6921,20674
69100,691,69100,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20681,82,20687,307,307,302,292,4293,334,1900,76,65,1136,3,37588,21120,6794,20681
69200,692,69200,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20688,83,20695,307,307,302,292,4297,334,1900,76,65,1136,3,37589,21120,6667,20688
69300,693,69300,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20694,84,20702,307,307,302,292,4301,334,1900,76,65,1136,3,37590,21119,6542,20694
69400,694,69400,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20701,85,20710,307,307,302,292,4305,333,1900,76,65,1136,3,37591,21119,6418,20701
69500,695,69500,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20707,86,20717,307,307,302,292,4309,333,1900,76,65,1136,3,37591,21118,6294,20707
69600,696,69600,-10,0,0,0,0,0,-11,0,0,0,0,0,76,20713,87,20724,307,307,302,292,4313,333,1900,76,65,1136,3,37592,21117,6172,20713
69700,697,69700,-10,0,0,0,0,0,-10,0,0,0,0,0,76,20719,88,20731,307,307,302,292,4317,333,1900,76,65,1136,3,37593,21117,6050,20719
69800,698,69800,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20725,88,20738,307,307,302,292,4320,332,1900,76,65,1136,3,37594,21116,5930,20725
69900,699,69900,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20731,89,20745,307,307,302,292,4324,332,1900,76,65,1136,3,37594,21116,5810,20731
70000,700,70000,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20737,80,20742,307,307,302,292,4328,332,1900,76,65,1136,3,37595,21115,5692,20737
70100,701,70100,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20742,81,20748,307,307,302,292,4332,332,1900,76,65,1136,3,37596,21114,5574,20742
70200,702,70200,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20748,82,20755,307,307,302,292,4335,331,1900,76,65,1136,3,37597,21114,5456,20748
70300,703,70300,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20753,83,20761,307,307,302,292,4339,331,1900,76,65,1136,3,37597,21113,5340,20753
70400,704,70400,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20758,84,20767,307,307,302,292,4343,331,1900,76,65,1136,3,37598,21112,5225,20758
70500,705,70500,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20763,85,20773,307,307,302,292,4346,331,1900,76,65,1136,3,37599,21112,5110,20763
70600,706,70600,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20768,86,20779,307,307,302,292,4350,331,1900,76,65,1136,3,37600,21111,4996,20768
70700,707,70700,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20773,87,20785,307,307,302,292,4354,330,1900,76,65,1136,3,37600,21110,4882,20773
70800,708,70800,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20778,88,20791,307,307,302,292,4357,330,1900,76,65,1136,3,37601,21109,4770,20778
70900,709,70900,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20783,89,20797,307,307,302,292,4361,330,1900,76,65,1136,3,37602,21109,4657,20783
71000,710,71000,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20787,80,20792,306,306,301,291,4364,330,1900,76,65,1136,3,37602,21108,4546,20787
71100,711,71100,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20792,81,20798,306,306,301,291,4367,329,1900,76,65,1136,3,37603,21107,4435,20792
71200,712,71200,-9,0,0,0,0,0,-10,0,0,0,0,0,75,20796,82,20803,306,306,301,291,4371,329,1900,76,65,1136,3,37604,21106,4325,20796
71300,713,71300,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20800,83,20808,306,306,301,291,4374,329,1900,76,65,1136,3,37604,21106,4216,20800
71400,714,71400,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20804,84,20813,306,306,301,291,4377,329,1900,76,65,1136,3,37605,21105,4107,20804
71500,715,71500,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20808,85,20818,306,306,301,291,4381,329,1900,76,65,1136,3,37606,21104,3998,20808
71600,716,71600,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20812,86,20823,306,306,301,291,4384,328,1900,76,65,1136,3,37606,21103,3890,20812
71700,717,71700,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20816,87,20828,306,306,301,291,4387,328,1900,76,65,1136,3,37607,21103,3783,20816
71800,718,71800,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20820,88,20833,306,306,301,291,4390,328,1900,76,65,1136,3,37608,21102,3676,20820
71900,719,71900,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20823,89,20837,306,306,301,291,4393,328,1900,76,65,1136,3,37608,21101,3570,20823
72000,720,72000,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20827,80,20832,306,306,301,291,4396,327,1900,75,65,1136,3,37609,21100,3464,20827
72100,721,72100,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20830,80,20836,306,306,301,291,4399,327,1900,75,65,1136,3,37609,21100,3358,20830
72200,722,72200,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20833,81,20840,306,306,301,291,4402,327,1900,75,65,1136,3,37610,21099,3253,20833
72300,723,72300,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20837,82,20845,306,306,301,291,4405,327,1900,75,65,1136,3,37611,21098,3149,20837
72400,724,72400,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20840,83,20849,306,306,301,291,4408,326,1900,75,65,1136,3,37611,21097,3045,20840
72500,725,72500,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20843,84,20853,306,306,301,291,4411,326,1900,75,65,1136,3,37612,21096,2941,20843
72600,726,72600,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20845,85,20856,306,306,301,291,4414,326,1900,75,65,1136,3,37612,21095,2837,20845
72700,727,72700,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20848,86,20860,306,306,301,291,4417,326,1900,75,65,1136,3,37613,21095,2734,20848
72800,728,72800,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20851,87,20864,306,306,301,291,4419,326,1900,75,65,1136,3,37613,21094,2632,20851
72900,729,72900,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20853,88,20867,306,306,301,291,4422,325,1901,75,65,1136,3,37614,21093,2529,20853
73000,730,73000,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20856,79,20861,306,306,301,291,4425,325,1901,75,65,1136,3,37615,21092,2427,20856
73100,731,73100,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20858,80,20864,306,306,301,291,4427,325,1901,75,65,1136,3,37615,21091,2326,20858
73200,732,73200,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20860,81,20867,306,306,301,291,4430,325,1901,75,65,1136,3,37616,21090,2224,20860
73300,733,73300,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20862,82,20870,306,306,301,291,4432,325,1901,75,65,1136,3,37616,21090,2123,20862
73400,734,73400,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20864,83,20873,306,306,301,291,4435,324,1901,75,65,1136,3,37617,21089,2022,20864
73500,735,73500,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20866,84,20876,306,306,301,291,4437,324,1901,75,65,1136,3,37617,21088,1922,20866
73600,736,73600,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20868,85,20879,306,306,301,291,4440,324,1901,75,65,1136,3,37618,21087,1821,20868
73700,737,73700,-8,0,0,0,0,0,-9,0,0,0,0,0,74,20870,86,20882,306,306,301,291,4442,324,1902,75,65,1136,3,37618,21086,1721,20870
73800,738,73800,-8,0,0,0,0,0,-9,0,0,0,0,0,74,20871,87,20884,306,306,301,291,4444,323,1902,75,65,1136,3,37618,21085,1621,20871
73900,739,73900,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20873,88,20887,306,306,301,291,4447,323,1902,75,65,1136,3,37619,21084,1521,20873
74000,740,74000,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20874,79,20879,306,306,301,291,4449,323,1902,75,65,1136,3,37619,21083,1422,20874
74100,741,74100,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20876,80,20882,306,306,301,291,4451,323,1902,75,65,1136,3,37620,21082,1323,20876
74200,742,74200,-8,0,0,0,0,0,-9,0,0,0,0,0,74,20877,81,20884,306,306,301,291,4453,323,1902,75,65,1136,3,37620,21082,1223,20877
74300,743,74300,-8,0,0,0,0,0,-9,0,0,0,0,0,74,20878,82,20886,306,306,301,291,4455,322,1902,75,65,1136,3,37621,21081,1124,20878
74400,744,74400,-8,0,0,0,0,0,-9,0,0,0,0,0,74,20879,83,20888,306,306,301,291,4457,322,1903,75,65,1136,3,37621,21080,1026,20879
74500,745,74500,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20880,84,20890,306,306,301,291,4459,322,1903,75,65,1136,3,37621,21079,927,20880
74600,746,74600,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20881,85,20892,306,306,301,291,4461,322,1903,75,65,1136,3,37622,21078,828,20881
74700,747,74700,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20882,86,20894,306,306,301,291,4463,322,1903,75,65,1136,3,37622,21077,730,20882
74800,748,74800,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20882,87,20895,306,306,301,291,4465,321,1903,75,65,1136,3,37623,21076,631,20882
74900,749,74900,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20883,88,20897,306,306,301,291,4467,321,1903,75,65,1136,3,37623,21075,533,20883
75000,750,75000,-8,0,0,0,0,0,-9,0,0,0,0,0,74,20883,79,20888,305,305,300,290,4468,321,1904,75,65,1136,3,37623,21074,435,20883
75100,751,75100,-8,0,0,0,0,0,-9,0,0,0,0,0,74,20884,80,20890,305,305,300,290,4470,321,1904,74,65,1136,3,37624,21073,336,20884
75200,752,75200,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20884,81,20891,305,305,300,290,4472,321,1904,74,65,1136,3,37624,21072,238,20884
75300,753,75300,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20884,81,20892,305,305,300,290,4473,320,1904,74,65,1136,3,37624,21071,140,20884
75399,754,75399,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20884,82,20893,305,305,300,290,4475,320,1904,74,65,1136,3,37625,21070,42,20884
75499,755,75499,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20884,83,20894,305,305,300,290,4477,320,1905,74,65,1136,3,37625,21069,55,20884
75599,756,75599,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20884,84,20895,305,305,300,290,4478,320,1905,74,65,1136,3,37625,21068,153,20884
75699,757,75699,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20883,85,20895,305,305,300,290,4479,320,1905,74,65,1136,3,37625,21068,251,20883
75799,758,75799,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20883,86,20896,305,305,300,290,4481,319,1905,74,65,1136,3,37626,21067,349,20883
75899,759,75899,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20883,87,20897,305,305,300,290,4482,319,1905,74,65,1136,3,37626,21066,448,20883
75999,760,75999,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20882,88,20897,305,305,300,290,4483,319,1906,74,65,1136,3,37626,21065,546,20882
76099,761,76099,-8,0,0,0,0,0,-9,0,0,0,0,0,74,20881,79,20887,305,305,300,290,4485,319,1906,74,65,1136,3,37627,21064,644,20881
76199,762,76199,-8,0,0,0,0,0,-9,0,0,0,0,0,74,20881,80,20888,305,305,300,290,4486,319,1906,74,65,1136,3,37627,21063,743,20881
76299,763,76299,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20880,81,20888,305,305,300,290,4487,318,1906,74,65,1136,3,37627,21062,841,20880
76399,764,76399,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20879,82,20888,305,305,300,290,4488,318,1907,74,65,1136,3,37627,21061,939,20879
76499,765,76499,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20878,83,20888,305,305,300,290,4489,318,1907,74,65,1136,3,37627,21060,1038,20878
76599,766,76599,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20877,84,20888,305,305,300,290,4490,318,1907,74,65,1136,3,37628,21059,1137,20877
76699,767,76699,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20876,85,20888,305,305,300,290,4491,318,1907,74,65,1136,3,37628,21058,1236,20876
76799,768,76799,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20874,86,20887,305,305,300,290,4492,317,1908,74,65,1136,3,37628,21057,1335,20874
76899,769,76899,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20873,87,20887,305,305,300,290,4493,317,1908,74,65,1136,3,37628,21056,1434,20873
76999,770,76999,-8,0,0,0,0,0,-8,0,0,0,0,0,74,20871,88,20886,305,305,300,290,4494,317,1908,74,65,1136,3,37628,21055,1533,20871
77099,771,77099,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20870,79,20876,305,305,300,290,4494,317,1909,74,65,1136,3,37628,21054,1633,20870
77199,772,77199,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20868,80,20875,305,305,300,290,4495,317,1909,74,65,1136,3,37629,21053,1733,20868
77299,773,77299,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20866,81,20874,305,305,300,290,4496,316,1909,74,65,1136,3,37629,21052,1833,20866
77399,774,77399,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20864,82,20873,305,305,300,290,4496,316,1909,74,65,1136,3,37629,21051,1933,20864
77499,775,77499,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20862,83,20872,305,305,300,290,4497,316,1910,74,65,1136,3,37629,21050,2033,20862
77599,776,77599,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20860,84,20871,305,305,300,290,4497,316,1910,74,65,1136,3,37629,21049,2134,20860
77699,777,77699,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20858,85,20870,305,305,300,290,4498,316,1910,74,65,1136,3,37629,21048,2235,20858
77799,778,77799,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20855,86,20868,305,305,300,290,4498,315,1911,74,65,1136,3,37629,21047,2336,20855
77899,779,77899,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20853,87,20867,305,305,300,290,4498,315,1911,74,65,1136,3,37629,21046,2437,20853
77999,780,77999,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20850,88,20865,305,305,300,290,4499,315,1911,74,65,1136,3,37629,21045,2539,20850
78099,781,78099,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20848,79,20854,305,305,300,290,4499,315,1911,73,65,1136,3,37629,21044,2641,20848
78199,782,78199,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20845,80,20852,305,305,300,290,4499,315,1912,73,65,1136,3,37629,21043,2743,20845
78299,783,78299,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20842,81,20850,305,305,300,290,4499,315,1912,73,65,1136,3,37629,21042,2846,20842
78399,784,78399,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20839,82,20848,305,305,300,290,4499,314,1912,73,65,1136,3,37629,21041,2949,20839
78499,785,78499,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20836,83,20845,305,305,300,290,4499,314,1913,73,65,1136,3,37629,21040,3053,20836
78599,786,78599,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20833,84,20843,304,304,299,289,4499,314,1913,73,65,1136,3,37629,21039,3156,20833
78699,787,78699,-9,0,0,0,0,0,-9,0,0,0,0,0,74,20830,85,20841,304,304,299,289,4499,314,1913,73,65,1136,3,37629,21038,3261,20830
78799,788,78799,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20826,87,20838,304,304,299,289,4499,314,1914,73,65,1136,3,37629,21037,3365,20826
78899,789,78899,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20823,88,20836,304,304,299,289,4499,314,1914,73,65,1136,3,37629,21036,3470,20823
78999,790,78999,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20819,89,20833,304,304,299,289,4499,313,1914,73,65,1136,3,37629,21035,3576,20819
79099,791,79099,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20816,80,20821,304,304,299,289,4499,313,1915,73,65,1136,3,37629,21034,3682,20816
79199,792,79199,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20812,81,20818,304,304,299,289,4498,313,1915,73,65,1136,3,37629,21033,3788,20812
79299,793,79299,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20808,82,20815,304,304,299,289,4498,313,1916,73,65,1136,3,37629,21032,3895,20808
79399,794,79399,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20804,83,20812,304,304,299,289,4498,313,1916,73,65,1136,3,37629,21031,4002,20804
79499,795,79499,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20800,84,20809,304,304,299,289,4497,312,1916,73,65,1136,3,37629,21030,4110,20800
79599,796,79599,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20796,85,20806,304,304,299,289,4497,312,1917,73,65,1136,3,37629,21029,4219,20796
79699,797,79699,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20791,86,20802,304,304,299,289,4496,312,1917,73,65,1136,3,37629,21028,4328,20791
79799,798,79799,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20787,87,20799,304,304,299,289,4496,312,1917,73,65,1136,3,37629,21027,4437,20787
79899,799,79899,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20782,88,20795,304,304,299,289,4495,312,1918,73,65,1136,3,37629,21026,4548,20782
79999,800,79999,-9,0,0,0,0,0,-9,0,0,0,0,0,75,20778,89,20792,304,304,299,289,4494,312,1918,73,65,1136,3,37628,21025,4658,20778
80099,801,80099,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20773,80,20778,304,304,299,289,4493,311,1919,73,65,1136,3,37628,21024,4770,20773
80199,802,80199,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20768,81,20774,304,304,299,289,4493,311,1919,73,65,1136,3,37628,21023,4882,20768
80299,803,80299,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20763,82,20770,304,304,299,289,4492,311,1919,73,65,1136,3,37628,21022,4994,20763
80399,804,80399,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20758,83,20766,304,304,299,289,4491,311,1920,73,65,1136,3,37628,21021,5108,20758
80499,805,80499,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20753,84,20762,304,304,299,289,4490,311,1920,73,65,1136,3,37628,21020,5222,20753
80599,806,80599,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20747,85,20757,304,304,299,289,4489,311,1921,73,65,1136,3,37627,21019,5337,20747
80699,807,80699,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20742,86,20753,304,304,299,289,4488,311,1921,73,65,1136,3,37627,21018,5452,20742
80799,808,80799,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20736,87,20748,304,304,299,289,4487,310,1921,73,65,1136,3,37627,21017,5569,20736
80899,809,80899,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20731,88,20744,304,304,299,289,4486,310,1922,73,65,1136,3,37627,21016,5686,20731
80999,810,80999,-10,0,0,0,0,0,-10,0,0,0,0,0,75,20725,89,20739,304,304,299,289,4484,310,1922,73,65,1136,3,37626,21015,5804,20725
81099,811,81099,-10,0,0,0,0,0,-10,0,0,0,0,0,76,20719,81,20724,304,304,299,289,4483,310,1923,72,65,1136,3,37626,21014,5922,20719
81199,812,81199,-10,0,0,0,0,0,-10,0,0,0,0,0,76,20713,82,20719,304,304,299,289,4482,310,1923,72,65,1136,3,37626,21013,6042,20713
81299,813,81299,-10,0,0,0,0,0,-10,0,0,0,0,0,76,20707,83,20714,304,304,299,289,4481,310,1924,72,65,1136,3,37626,21012,6162,20707
81399,814,81399,-10,0,0,0,0,0,-11,0,0,0,0,0,76,20700,84,20708,304,304,299,289,4479,309,1924,72,65,1136,3,37625,21011,6284,20700
81499,815,81499,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20694,85,20703,304,304,299,289,4478,309,1924,72,65,1136,3,37625,21010,6406,20694
81599,816,81599,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20687,86,20697,304,304,299,289,4476,309,1925,72,65,1136,3,37625,21009,6529,20687
81699,817,81699,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20681,87,20692,304,304,299,289,4475,309,1925,72,65,1136,3,37625,21008,6653,20681
81799,818,81799,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20674,88,20686,304,304,299,289,4473,309,1926,72,65,1136,3,37624,21007,6779,20674
81899,819,81899,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20667,89,20680,304,304,299,289,4472,309,1926,72,65,1136,3,37624,21007,6905,20667
81999,820,81999,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20660,90,20674,303,303,298,288,4470,309,1927,72,65,1136,3,37624,21006,7032,20660
82099,821,82099,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20653,81,20658,303,303,298,288,4468,308,1927,72,65,1136,3,37623,21005,7161,20653
82199,822,82199,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20646,82,20652,303,303,298,288,4466,308,1928,72,65,1136,3,37623,21004,7290,20646
82299,823,82299,-11,0,0,0,0,0,-11,0,0,0,0,0,76,20638,83,20645,303,303,298,288,4465,308,1928,72,65,1136,3,37623,21003,7421,20638
82399,824,82399,-11,0,0,0,0,0,-12,0,0,0,0,0,76,20631,84,20639,303,303,298,288,4463,308,1928,72,65,1136,3,37622,21002,7553,20631
82499,825,82499,-11,0,0,0,0,0,-12,0,0,0,0,0,76,20623,85,20632,303,303,298,288,4461,308,1929,72,65,1136,3,37622,21001,7686,20623
82599,826,82599,-12,0,0,0,0,0,-12,0,0,0,0,0,77,20615,87,20625,303,303,298,288,4459,308,1929,72,65,1136,3,37621,21000,7820,20615
